t,chi_hhi_star,lambda2,total_weight,load_cv
310.0,1.0359208239199163e-06,0.7977221942798007,153.46424119802572,0.00011938718732429778
312.0,1.0492599713146732e-06,0.7976552408955898,153.46251985465608,0.00012212295182629157
314.0,1.0630435611741053e-06,0.7975860669450275,153.46074183179957,0.0001249756993363219
316.0,1.0772935542831559e-06,0.7975145609942097,153.45890436639695,0.0001279524003890054
318.0,1.0920334070791595e-06,0.7974406040148252,153.4570045097175,0.00013106056823608336
320.0,1.1072882018948806e-06,0.7973640687262218,153.45503911141066,0.00013430831126144492
322.0,1.1230847911131419e-06,0.7972848188679028,153.45300480187672,0.0001377043914714321
324.0,1.139451957002869e-06,0.7972027083937084,153.4508979727473,0.0001412582898857866
326.0,1.1564205892693375e-06,0.7971175805776832,153.44871475523325,0.0001449802797838029
328.0,1.1740238826563698e-06,0.7970292670201337,153.44645099606217,0.00014888150891163577
330.0,1.1922975573023134e-06,0.7969375865406353,153.444102230687,0.00015297409193709672
332.0,1.2112801049718293e-06,0.796842343942715,153.4416636533952,0.00015727121465017486
334.0,1.2310130647893018e-06,0.796743328632523,153.4391300838919,0.00016178725166083485
336.0,1.2515413326908414e-06,0.7966403130709723,153.43649592986083,0.00016653789964596856
338.0,1.2729135095171177e-06,0.7965330510354632,153.4337551449244,0.00017154032855832294
340.0,1.2951822935090053e-06,0.7964212756633164,153.43090118132918,0.00017681335364133375
342.0,1.3184049239714887e-06,0.7963046972442812,153.4279269365654,0.0001823776316138909
344.0,1.3426436840795664e-06,0.7961830007237904,153.42482469299176,0.00018825588501778358
346.0,1.3679664722507808e-06,0.7960558428718109,153.42158604937015,0.00019447315948179414
348.0,1.3944474532701555e-06,0.7959228490638844,153.4182018430132,0.00020105711958442253
350.0,1.422167802490011e-06,0.7957836096110319,153.41466206100637,0.0002080383901313777
352.0,1.451216559034273e-06,0.7956376755630624,153.41095573866713,0.000215450951056371
354.0,1.4816916071356264e-06,0.7954845538951009,153.4070708430463,0.0002233325958707683
356.0,1.513700808671743e-06,0.7953237019690674,153.40299413882974,0.00023172546571567185
358.0,1.5473633148403269e-06,0.7951545211395925,153.39871103345274,0.00024067667371848605
360.0,1.5828110909788574e-06,0.7949763493463359,153.39420539756304,0.000250239037670323
362.0,1.620190696125459e-06,0.7947884525004638,153.38945935612108,0.0002604719432103329
364.0,1.6596653684596656e-06,0.7945900144302743,153.38445304437036,0.00027144236497641096
366.0,1.7014174798562117e-06,0.7943801250972141,153.37916432157618,0.00028322607989228975
368.0,1.7456514381755585e-06,0.7941577667255484,153.37356843374232,0.00029590911535046607
370.0,1.7925971356682498e-06,0.793921797402485,153.36763761435694,0.00030958948611757375
372.0,1.8425140673739113e-06,0.7936709315947853,153.36134060944994,0.0003243792881435693
374.0,1.8956962765886535e-06,0.793403716885071,153.35464210965912,0.00034040723621031437
376.0,1.9524783280121508e-06,0.7931185060454825,153.3475020673283,0.00035782175703917324
378.0,2.0132425667747612e-06,0.7928134233234159,153.3398748705191,0.0003767947822299526
380.0,2.0784279984047776e-06,0.7924863234933904,153.33170833767593,0.00039752642922493195
382.0,2.1485412283574406e-06,0.792134741802087,153.32294248579228,0.00042025081765166724
384.0,2.2241700406878615e-06,0.7917558323596391,153.31350801021608,0.0004452433490265485
386.0,2.306000389412859e-06,0.7913462917511609,153.30332439415866,0.0004728298887993604
388.0,2.394837846116684e-06,0.7909022635735443,153.29229753827053,0.0005033984441843653
390.0,2.4916349279591934e-06,0.7904192181192796,153.28031676197378,0.0005374141486570831
392.0,2.5975262739758968e-06,0.7898917993454706,153.26725097354932,0.0005754386738599877
394.0,2.7138744256998917e-06,0.7893136283006814,153.25294372757116,0.0006181556371137277
396.0,2.8423301285772965e-06,0.7886770479011629,153.2372067742042,0.0006664042281139878
398.0,2.984912808601123e-06,0.7879727876719348,153.21981153622627,0.0007212242531567711
