t,chi_hhi_star,lambda2,total_weight,load_cv
582.0,0.21191808574602322,-4.96273488838003e-16,83.99999999943086,1.1992060865498475
584.0,0.21119900268973757,-7.125699809706502e-16,83.99999999866546,1.1992060865758896
586.0,0.21022971511380623,-5.477497955984554e-16,83.99999999869192,1.1992060865786272
588.0,0.20660866315818205,-5.104358910645459e-16,83.9999999987539,1.1992060865786442
590.0,0.20379059606990402,-5.93069554567547e-16,83.99999999878855,1.1992060865784875
592.0,0.2035265083599387,-7.552606892583231e-16,83.99999999880504,1.1992060865783951
594.0,0.2035195908265653,-7.75129602769128e-16,83.99999999881257,1.1992060865783503
596.0,0.20351945716848996,-5.569405085386167e-16,83.99999999881597,1.1992060865783298
598.0,0.20351945470241004,-8.409302112055972e-16,83.9999999988175,1.199206086578321
600.0,0.2035194546571948,-7.146431944342726e-16,83.99999999881818,1.1992060865783165
602.0,0.20351945465636545,-7.080389929948781e-16,83.99999999881848,1.1992060865783145
604.0,0.20351945465634977,-8.55398336071528e-16,83.99999999881864,1.1992060865783138
606.0,0.20351945465634924,-8.616376863051688e-16,83.9999999988187,1.1992060865783134
608.0,0.20351945465634916,-7.076542416591767e-16,83.99999999881871,1.199206086578313
610.0,0.2035194546563491,-6.919178670083712e-16,83.99999999881874,1.199206086578313
612.0,0.20351945465634907,-6.396213860125843e-16,83.99999999881874,1.199206086578313
614.0,0.20351945465634907,-7.660667740389338e-16,83.99999999881874,1.1992060865783132
616.0,0.20351945465634907,-8.797066191403102e-16,83.99999999881875,1.1992060865783132
618.0,0.20351945465634907,-1.0966939663837657e-15,83.99999999881874,1.1992060865783132
620.0,0.20351945465634907,-7.045863923746296e-16,83.99999999881874,1.1992060865783134
622.0,0.20351945465634907,-6.517313340411684e-16,83.99999999881874,1.1992060865783132
624.0,0.20351945465634905,-6.63984243754011e-16,83.99999999881874,1.1992060865783132
626.0,0.20351945465634905,-6.478660026155133e-16,83.99999999881874,1.1992060865783132
628.0,0.20351945465634907,-8.080164048555263e-16,83.99999999881874,1.1992060865783132
630.0,0.20351945465634907,-9.699030047777362e-16,83.99999999881874,1.1992060865783132
632.0,0.20351945465634905,-5.729626655982825e-16,83.99999999881874,1.1992060865783134
634.0,0.20351945465634905,-8.110827574965873e-16,83.99999999881874,1.1992060865783132
636.0,0.20351945465634907,-8.719911246535971e-16,83.99999999881874,1.1992060865783134
638.0,0.20351945465634905,-9.851020191430853e-16,83.99999999881874,1.1992060865783132
640.0,0.20351945465634907,-9.340336815905087e-16,83.99999999881874,1.1992060865783132
642.0,0.20351945465634905,-1.053205021084119e-15,83.99999999881874,1.1992060865783132
644.0,0.20351945465634905,-7.966065702920518e-16,83.99999999881874,1.1992060865783134
646.0,0.20351945465634905,-5.938495009924622e-16,83.99999999881874,1.1992060865783132
648.0,0.20351945465634905,-7.665856250890648e-16,83.99999999881874,1.1992060865783132
650.0,0.20351945465634905,-7.774980210859168e-16,83.99999999881874,1.1992060865783132
652.0,0.20351945465634905,-7.876175057455481e-16,83.99999999881875,1.1992060865783132
654.0,0.20351945465634907,-6.303983491460541e-16,83.99999999881874,1.1992060865783132
656.0,0.20351945465634905,-8.277220125062477e-16,83.99999999881874,1.1992060865783132
658.0,0.20351945465634905,-8.901004514726512e-16,83.99999999881874,1.1992060865783132
660.0,0.20351945465634905,-7.193217661972131e-16,83.99999999881874,1.1992060865783132
662.0,0.20351945465634905,-8.695517064469031e-16,83.99999999881874,1.1992060865783132
664.0,0.20351945465634905,-7.679122840517328e-16,83.99999999881874,1.199206086578313
666.0,0.20351945465634905,-8.475420569904033e-16,83.99999999881874,1.1992060865783132
668.0,0.20351945465634905,-6.584810199922844e-16,83.99999999881872,1.1992060865783132
670.0,0.20351945465634907,-1.207930887231564e-15,83.99999999881874,1.1992060865783134
672.0,0.20351945465634905,-7.827075467059685e-16,83.99999999881874,1.1992060865783132
674.0,0.20351945465634907,-6.369160673532185e-16,83.99999999881872,1.1992060865783132
676.0,0.20351945465634907,-6.760998817980585e-16,83.99999999881871,1.1992060865783132
678.0,0.20351945465634907,-7.138144931414324e-16,83.99999999881871,1.1992060865783132
