protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem,t_max,chi_final,chi_peak,t_peak,reached_onset_0p1,t_onset_0p1,not_reached_0p1,reached_onset_0p4,t_onset_0p4,not_reached_0p4
absolute,1.74,64,101,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed101_etaabs_1em04,600.0,0.12676411290283962,0.8571070096866713,489.5,True,462.5,False,True,469.5,False
absolute,1.74,64,101,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed101_etaabs_3em04,600.0,0.2220262096767757,0.7079185216701437,191.5,True,159.5,False,True,168.0,False
absolute,1.74,64,101,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed101_etaabs_1em03,600.0,0.12676411290283962,0.8571637594125581,75.0,True,53.0,False,True,56.5,False
absolute,1.74,64,101,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed101_etaabs_3em03,600.0,0.17439516128980764,0.8095991618776415,37.0,True,20.0,False,True,22.0,False
absolute,1.74,64,102,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed102_etaabs_1em04,600.0,0.22202620967677567,0.7618216057792644,476.0,True,449.5,False,True,456.0,False
absolute,1.74,64,102,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed102_etaabs_3em04,600.0,0.2220262096767757,0.7193757083809624,184.0,True,155.0,False,True,161.5,False
absolute,1.74,64,102,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed102_etaabs_1em03,600.0,0.17439516128980767,0.8095969387595368,69.0,True,51.0,False,True,56.0,False
absolute,1.74,64,102,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed102_etaabs_3em03,600.0,0.12676411290283962,0.8570165406948234,45.5,True,19.0,False,True,22.0,False
absolute,1.74,64,103,0.0001,etaabs_1em04,0.0001,absolute_a1p74_N64_seed103_etaabs_1em04,600.0,0.17439516128980764,0.7318609669717627,493.5,True,456.0,False,True,463.5,False
absolute,1.74,64,103,0.0003,etaabs_3em04,0.0003,absolute_a1p74_N64_seed103_etaabs_3em04,600.0,0.17439516128980767,0.7671097870791139,185.0,True,157.5,False,True,163.0,False
absolute,1.74,64,103,0.001,etaabs_1em03,0.001,absolute_a1p74_N64_seed103_etaabs_1em03,600.0,0.22202620967677572,0.7619561547936282,76.0,True,51.5,False,True,56.0,False
absolute,1.74,64,103,0.003,etaabs_3em03,0.003,absolute_a1p74_N64_seed103_etaabs_3em03,600.0,0.17439516128980767,0.7678733125462334,47.0,True,19.0,False,True,22.0,False
