protocol,alpha,N,seed,amplitude_value,amplitude_label,effective_eta,run_stem
relative,1.8,256,101,0.5,etarel_c0p50,0.0015686274509803923,relative_a1p80_N256_seed101_etarel_c0p50
relative,1.8,256,101,1.0,etarel_c1p00,0.0031372549019607846,relative_a1p80_N256_seed101_etarel_c1p00
relative,1.8,256,102,0.05,etarel_c0p05,0.00015686274509803925,relative_a1p80_N256_seed102_etarel_c0p05
relative,1.8,256,102,0.1,etarel_c0p10,0.0003137254901960785,relative_a1p80_N256_seed102_etarel_c0p10
relative,1.8,256,102,0.2,etarel_c0p20,0.000627450980392157,relative_a1p80_N256_seed102_etarel_c0p20
relative,1.8,256,102,0.5,etarel_c0p50,0.0015686274509803923,relative_a1p80_N256_seed102_etarel_c0p50
relative,1.8,256,102,1.0,etarel_c1p00,0.0031372549019607846,relative_a1p80_N256_seed102_etarel_c1p00
relative,1.8,256,103,0.05,etarel_c0p05,0.00015686274509803925,relative_a1p80_N256_seed103_etarel_c0p05
relative,1.8,256,103,0.1,etarel_c0p10,0.0003137254901960785,relative_a1p80_N256_seed103_etarel_c0p10
relative,1.8,256,103,0.2,etarel_c0p20,0.000627450980392157,relative_a1p80_N256_seed103_etarel_c0p20
relative,1.8,256,103,0.5,etarel_c0p50,0.0015686274509803923,relative_a1p80_N256_seed103_etarel_c0p50
relative,1.8,256,103,1.0,etarel_c1p00,0.0031372549019607846,relative_a1p80_N256_seed103_etarel_c1p00
relative,1.8,256,104,0.05,etarel_c0p05,0.00015686274509803925,relative_a1p80_N256_seed104_etarel_c0p05
relative,1.8,256,104,0.1,etarel_c0p10,0.0003137254901960785,relative_a1p80_N256_seed104_etarel_c0p10
relative,1.8,256,104,0.2,etarel_c0p20,0.000627450980392157,relative_a1p80_N256_seed104_etarel_c0p20
relative,1.8,256,104,0.5,etarel_c0p50,0.0015686274509803923,relative_a1p80_N256_seed104_etarel_c0p50
relative,1.8,256,104,1.0,etarel_c1p00,0.0031372549019607846,relative_a1p80_N256_seed104_etarel_c1p00
relative,1.8,256,105,0.05,etarel_c0p05,0.00015686274509803925,relative_a1p80_N256_seed105_etarel_c0p05
relative,1.8,256,105,0.1,etarel_c0p10,0.0003137254901960785,relative_a1p80_N256_seed105_etarel_c0p10
relative,1.8,256,105,0.2,etarel_c0p20,0.000627450980392157,relative_a1p80_N256_seed105_etarel_c0p20
relative,1.8,256,105,0.5,etarel_c0p50,0.0015686274509803923,relative_a1p80_N256_seed105_etarel_c0p50
relative,1.8,256,105,1.0,etarel_c1p00,0.0031372549019607846,relative_a1p80_N256_seed105_etarel_c1p00
